Sale_ID,Sale_Date,Year,Month,Country,State_Region,City,Dealer_Name,Brand,Model,Vehicle_Type,Vehicle_Segment,Fuel_Type,Transmission,Vehicle_Year,Customer_Age,Customer_Gender,Customer_Type,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Finance_Status,Customer_Rating
AS100000,2025-02-25,2025,Feb,India,Kerala,Kozhikode,Global Wheels 14,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2026,47,Male,Fleet,2,56015.07,3962.91,108067.22,82246.66,25820.56,0.2389,Lease,Approved,4.6
AS100001,2024-08-09,2024,Aug,Japan,Osaka,Osaka,CityDrive 9,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2021,28,Female,Retail,2,61436.12,16770.07,106102.18,89206.66,16895.52,0.1592,Bank Finance,Approved,3.9
AS100002,2025-10-27,2025,Oct,India,Maharashtra,Mumbai,AutoHub 16,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2026,33,Male,Retail,1,37357.88,1329.59,36028.29,27584.23,8444.06,0.2344,Credit Card,Not Required,3.6
AS100003,2025-11-13,2025,Nov,Germany,Bavaria,Nuremberg,Metro Motors 14,Kia,Sportage,SUV,Compact SUV,Petrol,Automatic,2021,31,Female,Retail,1,30638.47,1126.59,29511.89,21130.02,8381.86,0.284,Credit Card,Not Required,4.1
AS100004,2026-01-30,2026,Jan,Canada,Quebec,Quebec City,Global Wheels 14,Ford,F-150,Pickup,Full-Size,Petrol,Automatic,2024,31,Male,Retail,1,41582.99,3652.16,37930.82,31016.03,6914.8,0.1823,Bank Finance,Approved,4.2
AS100005,2025-03-01,2025,Mar,UK,Wales,Cardiff,Metro Motors 17,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2026,36,Female,Retail,1,46861.29,2588.21,44273.08,35380.61,8892.47,0.2009,Credit Card,Not Required,3.9
AS100006,2026-03-03,2026,Mar,Canada,Quebec,Montreal,Metro Motors 5,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2022,34,Male,Corporate,1,49517.23,3967.59,45549.64,32222.55,13327.09,0.2926,Bank Finance,Approved,4.3
AS100007,2024-12-18,2024,Dec,UK,Wales,Swansea,Prime Auto 2,Kia,Sportage,SUV,Compact SUV,Petrol,Automatic,2026,24,Female,Fleet,1,28222.05,3846.7,24375.35,19992.06,4383.29,0.1798,Bank Finance,Approved,4.5
AS100008,2025-03-19,2025,Mar,India,Maharashtra,Nagpur,Metro Motors 2,Honda,Civic,Sedan,Compact,Petrol,CVT,2025,42,Male,Retail,2,26256.75,5584.05,46929.44,35562.04,11367.4,0.2422,Credit Card,Not Required,4.1
AS100009,2025-02-08,2025,Feb,Canada,Alberta,Calgary,Prime Auto 6,Tesla,Model Y,SUV,Electric,Electric,Automatic,2025,51,Male,Retail,1,47726.33,1931.54,45794.79,38766.28,7028.51,0.1535,Bank Finance,Approved,3.9
